Equation;Variable domains;Variables;Equation-Description;Taxonomy-Domain;Taxonomy-Subdomain;Taxonomy-Specific;Equation_Full
III.17.37;$\theta \in [1.0,5.0]$;$\theta$: angle;Angular modulation function;Mathematics;Applied Mathematics;Signal Processing;III.17.37
III.19.51;$\mathit{m} \in [1.0,5.0]$;$m$: electron mass;Hydrogen atom energy levels (Bohr model);Physics;Quantum Mechanics;Atomic Physics;III.19.51
III.19.51;$\mathit{q} \in [1.0,5.0]$;$q$: electron charge;Hydrogen atom energy levels (Bohr model);Physics;Quantum Mechanics;Atomic Physics;III.19.51
III.19.51;$\mathit{h} \in [1.0,5.0]$;$h$: Planck's constant;Hydrogen atom energy levels (Bohr model);Physics;Quantum Mechanics;Atomic Physics;III.19.51
III.19.51;$\mathit{n} \in [1.0,5.0]$;$n$: principal quantum number;Hydrogen atom energy levels (Bohr model);Physics;Quantum Mechanics;Atomic Physics;III.19.51
III.19.51;$\epsilon \in [1.0,5.0]$;$\epsilon$: permittivity;Hydrogen atom energy levels (Bohr model);Physics;Quantum Mechanics;Atomic Physics;III.19.51
III.21.20;$A_{vec} \in [1.0,5.0]$;$A_{vec}$: magnetic vector potential;Current density in quantum mechanics;Physics;Quantum Mechanics;Electromagnetic Coupling;III.21.20
III.21.20;$\mathit{q} \in [1.0,5.0]$;$q$: electric charge;Current density in quantum mechanics;Physics;Quantum Mechanics;Electromagnetic Coupling;III.21.20
III.21.20;$\rho_{c_0} \in [1.0,5.0]$;$\rho_{c_0}$: charge density;Current density in quantum mechanics;Physics;Quantum Mechanics;Electromagnetic Coupling;III.21.20
III.21.20;$\mathit{m} \in [1.0,5.0]$;$m$: particle mass;Current density in quantum mechanics;Physics;Quantum Mechanics;Electromagnetic Coupling;III.21.20
Bonus1.0;$\mathit{Z_1} \in [1.0,2.0]$;$Z_1$: atomic number of projectile;Mott scattering cross-section (relativistic Rutherford);Physics;Nuclear Physics;Scattering Theory;Bonus1.0
Bonus1.0;$\mathit{Z_2} \in [1.0,2.0]$;$Z_2$: atomic number of target;Mott scattering cross-section (relativistic Rutherford);Physics;Nuclear Physics;Scattering Theory;Bonus1.0
Bonus1.0;$\alpha \in [1.0,2.0]$;$\alpha$: fine structure constant;Mott scattering cross-section (relativistic Rutherford);Physics;Nuclear Physics;Scattering Theory;Bonus1.0
Bonus1.0;$\hbar \in [1.0,2.0]$;$\hbar$: reduced Planck constant;Mott scattering cross-section (relativistic Rutherford);Physics;Nuclear Physics;Scattering Theory;Bonus1.0
Bonus1.0;$\mathit{c} \in [1.0,2.0]$;$c$: speed of light;Mott scattering cross-section (relativistic Rutherford);Physics;Nuclear Physics;Scattering Theory;Bonus1.0
Bonus1.0;$\mathit{E_n} \in [1.0,3.0]$;$E_n$: kinetic energy of projectile;Mott scattering cross-section (relativistic Rutherford);Physics;Nuclear Physics;Scattering Theory;Bonus1.0
Bonus1.0;$\theta \in [1.0,3.0]$;$\theta$: scattering angle;Mott scattering cross-section (relativistic Rutherford);Physics;Nuclear Physics;Scattering Theory;Bonus1.0
Bonus2.0;$\mathit{m} \in [1.0,3.0]$;$m$: reduced mass of system;Effective potential in two-body problem;Physics;Classical Mechanics;Central Force Motion;Bonus2.0
Bonus2.0;$\mathit{k_G} \in [1.0,3.0]$;$k_G$: gravitational coupling $Gm_1m_2$;Effective potential in two-body problem;Physics;Classical Mechanics;Central Force Motion;Bonus2.0
Bonus2.0;$\mathit{L} \in [1.0,3.0]$;$L$: total angular momentum;Effective potential in two-body problem;Physics;Classical Mechanics;Central Force Motion;Bonus2.0
Bonus2.0;$\mathit{E_n} \in [1.0,3.0]$;$E_n$: total mechanical energy;Effective potential in two-body problem;Physics;Classical Mechanics;Central Force Motion;Bonus2.0
Bonus2.0;$\theta_1 \in [0.0,6.0]$;$\theta_1$: current true anomaly;Effective potential in two-body problem;Physics;Classical Mechanics;Central Force Motion;Bonus2.0
Bonus2.0;$\theta_2 \in [0.0,6.0]$;$\theta_2$: periapsis argument;Effective potential in two-body problem;Physics;Classical Mechanics;Central Force Motion;Bonus2.0
Bonus3.0;$\mathit{d} \in [1.0,3.0]$;$d$: semi-latus rectum of orbit;Orbit equation (conic section with eccentricity);Physics;Classical Mechanics;Orbital Mechanics;Bonus3.0
Bonus3.0;$\alpha \in [2.0,4.0]$;$\alpha$: orbital eccentricity;Orbit equation (conic section with eccentricity);Physics;Classical Mechanics;Orbital Mechanics;Bonus3.0
Bonus3.0;$\theta_1 \in [4.0,5.0]$;$\theta_1$: current true anomaly;Orbit equation (conic section with eccentricity);Physics;Classical Mechanics;Orbital Mechanics;Bonus3.0
Bonus3.0;$\theta_2 \in [4.0,5.0]$;$\theta_2$: argument of periapsis;Orbit equation (conic section with eccentricity);Physics;Classical Mechanics;Orbital Mechanics;Bonus3.0
Bonus4.0;$\mathit{m} \in [1.0,3.0]$;$m$: mass;Radial velocity (classical orbital mechanics);Physics;Classical Mechanics;Orbital Dynamics;Bonus4.0
Bonus4.0;$\mathit{E_n} \in [8.0,12.0]$;$E_n$: total energy;Radial velocity (classical orbital mechanics);Physics;Classical Mechanics;Orbital Dynamics;Bonus4.0
Bonus4.0;$\mathit{U} \in [1.0,3.0]$;$U$: potential energy;Radial velocity (classical orbital mechanics);Physics;Classical Mechanics;Orbital Dynamics;Bonus4.0
Bonus4.0;$\mathit{L} \in [1.0,3.0]$;$L$: angular momentum;Radial velocity (classical orbital mechanics);Physics;Classical Mechanics;Orbital Dynamics;Bonus4.0
Bonus4.0;$\mathit{r} \in [1.0,3.0]$;$r$: radial distance;Radial velocity (classical orbital mechanics);Physics;Classical Mechanics;Orbital Dynamics;Bonus4.0
Bonus5.0;$\mathit{d} \in [1.0,3.0]$;$d$: semi-major axis of orbit;Kepler's third law (orbital period);Astronomy;Celestial Mechanics;Keplerian Orbits;Bonus5.0
Bonus5.0;$\mathit{G} \in [1.0,3.0]$;$G$: gravitational constant;Kepler's third law (orbital period);Astronomy;Celestial Mechanics;Keplerian Orbits;Bonus5.0
Bonus5.0;$\mathit{m1} \in [1.0,3.0]$;$m_1$: mass of primary body;Kepler's third law (orbital period);Astronomy;Celestial Mechanics;Keplerian Orbits;Bonus5.0
Bonus5.0;$\mathit{m2} \in [1.0,3.0]$;$m_2$: mass of orbiting body;Kepler's third law (orbital period);Astronomy;Celestial Mechanics;Keplerian Orbits;Bonus5.0
Bonus6.0;$\epsilon \in [1.0,3.0]$;$\epsilon$: permittivity of vacuum;Eccentricity of Coulomb/Kepler orbit;Physics;Classical Mechanics;Central Force Orbits;Bonus6.0
Bonus6.0;$\mathit{L} \in [1.0,3.0]$;$L$: orbital angular momentum;Eccentricity of Coulomb/Kepler orbit;Physics;Classical Mechanics;Central Force Orbits;Bonus6.0
Bonus6.0;$\mathit{E_n} \in [1.0,3.0]$;$E_n$: total mechanical energy;Eccentricity of Coulomb/Kepler orbit;Physics;Classical Mechanics;Central Force Orbits;Bonus6.0
Bonus6.0;$\mathit{Z_1} \in [1.0,3.0]$;$Z_1$: charge number of particle 1;Eccentricity of Coulomb/Kepler orbit;Physics;Classical Mechanics;Central Force Orbits;Bonus6.0
Bonus6.0;$\mathit{Z_2} \in [1.0,3.0]$;$Z_2$: charge number of particle 2;Eccentricity of Coulomb/Kepler orbit;Physics;Classical Mechanics;Central Force Orbits;Bonus6.0
Bonus6.0;$\mathit{m} \in [1.0,3.0]$;$m$: reduced mass of system;Eccentricity of Coulomb/Kepler orbit;Physics;Classical Mechanics;Central Force Orbits;Bonus6.0
Bonus6.0;$\mathit{q} \in [1.0,3.0]$;$q$: elementary charge;Eccentricity of Coulomb/Kepler orbit;Physics;Classical Mechanics;Central Force Orbits;Bonus6.0
Bonus7.0;$\mathit{G} \in [1.0,3.0]$;$G$: grav constant;Friedmann equation (Hubble parameter, $H = \dot{a}/a$);Astronomy;Cosmology;Expansion Dynamics;Bonus7.0
Bonus7.0;$\rho \in [1.0,3.0]$;$\rho$: mass density;Friedmann equation (Hubble parameter, $H = \dot{a}/a$);Astronomy;Cosmology;Expansion Dynamics;Bonus7.0
Bonus7.0;$\alpha \in [1.0,2.0]$;$\alpha$: curvature constant;Friedmann equation (Hubble parameter, $H = \dot{a}/a$);Astronomy;Cosmology;Expansion Dynamics;Bonus7.0
Bonus7.0;$\mathit{c} \in [1.0,2.0]$;$c$: speed of light;Friedmann equation (Hubble parameter, $H = \dot{a}/a$);Astronomy;Cosmology;Expansion Dynamics;Bonus7.0
Bonus7.0;$\mathit{d} \in [1.0,3.0]$;$d$: scale factor;Friedmann equation (Hubble parameter, $H = \dot{a}/a$);Astronomy;Cosmology;Expansion Dynamics;Bonus7.0
Bonus8.0;$\mathit{E_n} \in [1.0,3.0]$;$E_n$: photon energy;Compton scattering (scattered photon energy);Physics;Quantum Mechanics;Photon Scattering;Bonus8.0
Bonus8.0;$\mathit{m} \in [1.0,3.0]$;$m$: electron mass;Compton scattering (scattered photon energy);Physics;Quantum Mechanics;Photon Scattering;Bonus8.0
Bonus8.0;$\mathit{c} \in [1.0,3.0]$;$c$: speed of light;Compton scattering (scattered photon energy);Physics;Quantum Mechanics;Photon Scattering;Bonus8.0
Bonus8.0;$\theta \in [1.0,3.0]$;$\theta$: scattering angle;Compton scattering (scattered photon energy);Physics;Quantum Mechanics;Photon Scattering;Bonus8.0
Bonus9.0;$\mathit{G} \in [1.0,2.0]$;$G$: gravitational constant;Gravitational wave power loss (binary system);Physics;General Relativity;Gravitational Radiation;Bonus9.0
Bonus9.0;$\mathit{c} \in [1.0,2.0]$;$c$: speed of light;Gravitational wave power loss (binary system);Physics;General Relativity;Gravitational Radiation;Bonus9.0
Bonus9.0;$\mathit{m1} \in [1.0,5.0]$;$m_1$: mass of first body;Gravitational wave power loss (binary system);Physics;General Relativity;Gravitational Radiation;Bonus9.0
Bonus9.0;$\mathit{m2} \in [1.0,5.0]$;$m_2$: mass of second body;Gravitational wave power loss (binary system);Physics;General Relativity;Gravitational Radiation;Bonus9.0
Bonus9.0;$\mathit{r} \in [1.0,2.0]$;$r$: orbital separation;Gravitational wave power loss (binary system);Physics;General Relativity;Gravitational Radiation;Bonus9.0
Bonus10.0;$\mathit{c} \in [4.0,6.0]$;$c$: speed of light;Relativistic aberration angle;Physics;Relativity;Light Aberration;Bonus10.0
Bonus10.0;$\mathit{v} \in [1.0,3.0]$;$v$: velocity;Relativistic aberration angle;Physics;Relativity;Light Aberration;Bonus10.0
Bonus10.0;$\theta_2 \in [1.0,3.0]$;$\theta_2$: angle in rest frame;Relativistic aberration angle;Physics;Relativity;Light Aberration;Bonus10.0
Bonus11.0;$\mathit{I_0} \in [1.0,3.0]$;$I_0$: max intensity;Fraunhofer diffraction (N-slit interference pattern);Physics;Optics;Diffraction Patterns;Bonus11.0
Bonus11.0;$\alpha \in [1.0,3.0]$;$\alpha$: single-slit phase;Fraunhofer diffraction (N-slit interference pattern);Physics;Optics;Diffraction Patterns;Bonus11.0
Bonus11.0;$\delta \in [1.0,3.0]$;$\delta$: inter-slit phase;Fraunhofer diffraction (N-slit interference pattern);Physics;Optics;Diffraction Patterns;Bonus11.0
Bonus11.0;$\mathit{n} \in [1.0,2.0]$;$n$: number of slits;Fraunhofer diffraction (N-slit interference pattern);Physics;Optics;Diffraction Patterns;Bonus11.0
Bonus12.0;$\mathit{q} \in [1.0,5.0]$;$q$: point charge;Electric field from grounded conducting sphere (image charge method);Physics;Electromagnetism;Electrostatic Boundary Problems;Bonus12.0
Bonus12.0;$\mathit{Volt} \in [1.0,5.0]$;$Volt$: potential reference;Electric field from grounded conducting sphere (image charge method);Physics;Electromagnetism;Electrostatic Boundary Problems;Bonus12.0
Bonus12.0;$\mathit{d} \in [4.0,6.0]$;$d$: sphere radius;Electric field from grounded conducting sphere (image charge method);Physics;Electromagnetism;Electrostatic Boundary Problems;Bonus12.0
Bonus12.0;$\epsilon \in [1.0,5.0]$;$\epsilon$: permittivity of vacuum;Electric field from grounded conducting sphere (image charge method);Physics;Electromagnetism;Electrostatic Boundary Problems;Bonus12.0
Bonus12.0;$\mathit{y} \in [1.0,3.0]$;$y$: distance from sphere center;Electric field from grounded conducting sphere (image charge method);Physics;Electromagnetism;Electrostatic Boundary Problems;Bonus12.0
Bonus13.0;$\mathit{q} \in [1.0,5.0]$;$q$: point charge magnitude;Coulomb potential (law of cosines form for arbitrary geometry);Physics;Electromagnetism;Electric Potential;Bonus13.0
Bonus13.0;$\epsilon \in [1.0,5.0]$;$\epsilon$: permittivity of medium;Coulomb potential (law of cosines form for arbitrary geometry);Physics;Electromagnetism;Electric Potential;Bonus13.0
Bonus13.0;$\mathit{d} \in [4.0,6.0]$;$d$: distance from origin to charge;Coulomb potential (law of cosines form for arbitrary geometry);Physics;Electromagnetism;Electric Potential;Bonus13.0
Bonus13.0;$\mathit{r} \in [1.0,3.0]$;$r$: distance from origin to field point;Coulomb potential (law of cosines form for arbitrary geometry);Physics;Electromagnetism;Electric Potential;Bonus13.0
Bonus13.0;$\alpha \in [0.0,6.0]$;$\alpha$: angle between $\mathbf{d}$ and $\mathbf{r}$;Coulomb potential (law of cosines form for arbitrary geometry);Physics;Electromagnetism;Electric Potential;Bonus13.0
Bonus14.0;$\mathit{Ef} \in [1.0,5.0]$;$Ef$: external electric field;Induced dipole potential (dielectric sphere in uniform field);Physics;Electromagnetism;Dielectric Response;Bonus14.0
Bonus14.0;$\alpha \in [1.0,5.0]$;$\alpha$: relative dielectric constant;Induced dipole potential (dielectric sphere in uniform field);Physics;Electromagnetism;Dielectric Response;Bonus14.0
Bonus14.0;$\mathit{d} \in [1.0,5.0]$;$d$: sphere radius;Induced dipole potential (dielectric sphere in uniform field);Physics;Electromagnetism;Dielectric Response;Bonus14.0
Bonus14.0;$\mathit{r} \in [1.0,5.0]$;$r$: distance from sphere center;Induced dipole potential (dielectric sphere in uniform field);Physics;Electromagnetism;Dielectric Response;Bonus14.0
Bonus14.0;$\theta \in [0.0,6.0]$;$\theta$: polar angle from field direction;Induced dipole potential (dielectric sphere in uniform field);Physics;Electromagnetism;Dielectric Response;Bonus14.0
Bonus15.0;$\omega \in [1.0,5.0]$;$\omega$: source frequency (rest frame);Relativistic Doppler shift (general angle);Physics;Relativity;Doppler Effect;Bonus15.0
Bonus15.0;$\mathit{v} \in [1.0,3.0]$;$v$: relative velocity;Relativistic Doppler shift (general angle);Physics;Relativity;Doppler Effect;Bonus15.0
Bonus15.0;$\mathit{c} \in [5.0,20.0]$;$c$: speed of light;Relativistic Doppler shift (general angle);Physics;Relativity;Doppler Effect;Bonus15.0
Bonus15.0;$\theta \in [0.0,6.0]$;$\theta$: angle between velocity and observation;Relativistic Doppler shift (general angle);Physics;Relativity;Doppler Effect;Bonus15.0
Bonus16.0;$\mathit{Volt} \in [1.0,5.0]$;$Volt$: scalar potential;Relativistic Hamiltonian (charged particle in EM field, minimal coupling);Physics;Relativity;Relativistic Dynamics;Bonus16.0
Bonus16.0;$\mathit{q} \in [1.0,5.0]$;$q$: particle charge;Relativistic Hamiltonian (charged particle in EM field, minimal coupling);Physics;Relativity;Relativistic Dynamics;Bonus16.0
Bonus16.0;$\mathit{c} \in [1.0,5.0]$;$c$: speed of light;Relativistic Hamiltonian (charged particle in EM field, minimal coupling);Physics;Relativity;Relativistic Dynamics;Bonus16.0
Bonus16.0;$\mathit{m} \in [1.0,5.0]$;$m$: rest mass;Relativistic Hamiltonian (charged particle in EM field, minimal coupling);Physics;Relativity;Relativistic Dynamics;Bonus16.0
Bonus16.0;$A_{vec} \in [1.0,5.0]$;$A_{vec}$: magnetic vector potential;Relativistic Hamiltonian (charged particle in EM field, minimal coupling);Physics;Relativity;Relativistic Dynamics;Bonus16.0
Bonus16.0;$\mathit{p} \in [1.0,5.0]$;$p$: canonical momentum;Relativistic Hamiltonian (charged particle in EM field, minimal coupling);Physics;Relativity;Relativistic Dynamics;Bonus16.0
Bonus17.0;$\mathit{m} \in [1.0,5.0]$;$m$: particle mass;Hamiltonian (anharmonic oscillator with cubic nonlinearity);Physics;Classical Mechanics;Hamiltonian Mechanics;Bonus17.0
Bonus17.0;$\omega \in [1.0,5.0]$;$\omega$: natural angular frequency;Hamiltonian (anharmonic oscillator with cubic nonlinearity);Physics;Classical Mechanics;Hamiltonian Mechanics;Bonus17.0
Bonus17.0;$\mathit{p} \in [1.0,5.0]$;$p$: canonical momentum;Hamiltonian (anharmonic oscillator with cubic nonlinearity);Physics;Classical Mechanics;Hamiltonian Mechanics;Bonus17.0
Bonus17.0;$\mathit{x} \in [1.0,5.0]$;$x$: displacement from equilibrium;Hamiltonian (anharmonic oscillator with cubic nonlinearity);Physics;Classical Mechanics;Hamiltonian Mechanics;Bonus17.0
Bonus17.0;$\alpha \in [1.0,5.0]$;$\alpha$: anharmonicity parameter;Hamiltonian (anharmonic oscillator with cubic nonlinearity);Physics;Classical Mechanics;Hamiltonian Mechanics;Bonus17.0
Bonus17.0;$\mathit{y} \in [1.0,5.0]$;$y$: characteristic length scale;Hamiltonian (anharmonic oscillator with cubic nonlinearity);Physics;Classical Mechanics;Hamiltonian Mechanics;Bonus17.0
Bonus18.0;$\mathit{H_G} \in [1.0,5.0]$;$H_G$: Hubble parameter;Friedmann equation (total energy density from curvature);Astronomy;Cosmology;Energy Density;Bonus18.0
Bonus18.0;$\mathit{c} \in [1.0,5.0]$;$c$: speed of light;Friedmann equation (total energy density from curvature);Astronomy;Cosmology;Energy Density;Bonus18.0
Bonus18.0;$\mathit{k_f} \in [1.0,5.0]$;$k_f$: spatial curvature constant;Friedmann equation (total energy density from curvature);Astronomy;Cosmology;Energy Density;Bonus18.0
Bonus18.0;$\mathit{r} \in [1.0,5.0]$;$r$: scale factor $a(t)$;Friedmann equation (total energy density from curvature);Astronomy;Cosmology;Energy Density;Bonus18.0
Bonus18.0;$\mathit{G} \in [1.0,5.0]$;$G$: gravitational constant;Friedmann equation (total energy density from curvature);Astronomy;Cosmology;Energy Density;Bonus18.0
Bonus19.0;$\mathit{H_G} \in [1.0,5.0]$;$H_G$: Hubble parameter;Friedmann equation (effective pressure, equation of state parameter $w=\alpha$);Astronomy;Cosmology;Equation of State;Bonus19.0
Bonus19.0;$\mathit{c} \in [1.0,5.0]$;$c$: speed of light;Friedmann equation (effective pressure, equation of state parameter $w=\alpha$);Astronomy;Cosmology;Equation of State;Bonus19.0
Bonus19.0;$\alpha \in [1.0,5.0]$;$\alpha$: equation of state parameter $w$;Friedmann equation (effective pressure, equation of state parameter $w=\alpha$);Astronomy;Cosmology;Equation of State;Bonus19.0
Bonus19.0;$\mathit{k_f} \in [1.0,5.0]$;$k_f$: spatial curvature constant;Friedmann equation (effective pressure, equation of state parameter $w=\alpha$);Astronomy;Cosmology;Equation of State;Bonus19.0
Bonus19.0;$\mathit{r} \in [1.0,5.0]$;$r$: scale factor $a(t)$;Friedmann equation (effective pressure, equation of state parameter $w=\alpha$);Astronomy;Cosmology;Equation of State;Bonus19.0
Bonus19.0;$\mathit{G} \in [1.0,5.0]$;$G$: gravitational constant;Friedmann equation (effective pressure, equation of state parameter $w=\alpha$);Astronomy;Cosmology;Equation of State;Bonus19.0
Bonus20.0;$\alpha \in [1.0,5.0]$;$\alpha$: fine structure constant;Klein-Nishina formula (quantum Compton differential cross-section);Physics;Quantum Mechanics;Scattering Cross-Section;Bonus20.0
Bonus20.0;$\mathit{h} \in [1.0,5.0]$;$h$: Planck's constant;Klein-Nishina formula (quantum Compton differential cross-section);Physics;Quantum Mechanics;Scattering Cross-Section;Bonus20.0
Bonus20.0;$\omega_0 \in [1.0,5.0]$;$\omega_0$: incident photon frequency;Klein-Nishina formula (quantum Compton differential cross-section);Physics;Quantum Mechanics;Scattering Cross-Section;Bonus20.0
Bonus20.0;$\omega \in [1.0,5.0]$;$\omega$: scattered photon frequency;Klein-Nishina formula (quantum Compton differential cross-section);Physics;Quantum Mechanics;Scattering Cross-Section;Bonus20.0
Bonus20.0;$\mathit{m} \in [1.0,5.0]$;$m$: electron rest mass;Klein-Nishina formula (quantum Compton differential cross-section);Physics;Quantum Mechanics;Scattering Cross-Section;Bonus20.0
Bonus20.0;$\mathit{c} \in [1.0,5.0]$;$c$: speed of light;Klein-Nishina formula (quantum Compton differential cross-section);Physics;Quantum Mechanics;Scattering Cross-Section;Bonus20.0
Bonus20.0;$\beta \in [0.0,6.0]$;$\beta$: scattering angle;Klein-Nishina formula (quantum Compton differential cross-section);Physics;Quantum Mechanics;Scattering Cross-Section;Bonus20.0
