EquationKey,EquationChapter,Equation,Equation-Description,Taxonomy-Domain,Taxonomy-Subdomain,Taxonomy-Specific,Variable,Variable_LaTeX,Variables_Description_LaTeX,Variables_Domain,Variables_Domain_LaTeX
Feynman69,FeynmanIICh15Eq4,II.15.4,Magnetic dipole potential energy,Physics,Electromagnetism,Magnetic Dipole,theta,$\theta$,$\theta$: angle between field and moment,"\theta \in [1.0,5.0]","$\theta \in [1.0,5.0]$"
Feynman70,FeynmanIICh15Eq5,II.15.5,Electric dipole potential energy,Physics,Electromagnetism,Electric Dipole,Ef,$Ef$,$Ef$: electric field strength,"Ef \in [1.0,5.0]","$Ef \in [1.0,5.0]$"
Feynman70,FeynmanIICh15Eq5,II.15.5,Electric dipole potential energy,Physics,Electromagnetism,Electric Dipole,pd,$p_d$,$p_d$: electric dipole moment,"p_d \in [1.0,5.0]","$p_d \in [1.0,5.0]$"
Feynman70,FeynmanIICh15Eq5,II.15.5,Electric dipole potential energy,Physics,Electromagnetism,Electric Dipole,theta,$\theta$,$\theta$: angle between field and dipole,"\theta \in [1.0,5.0]","$\theta \in [1.0,5.0]$"
Feynman71,FeynmanIICh21Eq32,II.21.32,Liénard-Wiechert potential (moving charge),Physics,Electromagnetism,Retarded Potential,q,$q$,$q$: charge,"q \in [1.0,5.0]","$q \in [1.0,5.0]$"
Feynman71,FeynmanIICh21Eq32,II.21.32,Liénard-Wiechert potential (moving charge),Physics,Electromagnetism,Retarded Potential,epsilon,$\epsilon$,$\epsilon$: permittivity,"\epsilon \in [1.0,5.0]","$\epsilon \in [1.0,5.0]$"
Feynman71,FeynmanIICh21Eq32,II.21.32,Liénard-Wiechert potential (moving charge),Physics,Electromagnetism,Retarded Potential,r,$r$,$r$: distance,"r \in [1.0,5.0]","$r \in [1.0,5.0]$"
Feynman71,FeynmanIICh21Eq32,II.21.32,Liénard-Wiechert potential (moving charge),Physics,Electromagnetism,Retarded Potential,v,$v$,$v$: velocity,"v \in [1.0,2.0]","$v \in [1.0,2.0]$"
Feynman71,FeynmanIICh21Eq32,II.21.32,Liénard-Wiechert potential (moving charge),Physics,Electromagnetism,Retarded Potential,c,$c$,$c$: speed of light,"c \in [3.0,10.0]","$c \in [3.0,10.0]$"
Feynman72,FeynmanIICh24Eq17,II.24.17,Wave number in waveguide,Engineering,Electrical Engineering,Waveguide Theory,omega,$\omega$,$\omega$: frequency,"\omega \in [4.0,6.0]","$\omega \in [4.0,6.0]$"
Feynman72,FeynmanIICh24Eq17,II.24.17,Wave number in waveguide,Engineering,Electrical Engineering,Waveguide Theory,c,$c$,$c$: wave speed,"c \in [1.0,2.0]","$c \in [1.0,2.0]$"
Feynman72,FeynmanIICh24Eq17,II.24.17,Wave number in waveguide,Engineering,Electrical Engineering,Waveguide Theory,d,$d$,$d$: waveguide dimension,"d \in [2.0,4.0]","$d \in [2.0,4.0]$"
Feynman73,FeynmanIICh27Eq16,II.27.16,Poynting vector magnitude,Physics,Electromagnetism,Energy Flow,Ef,$Ef$,$Ef$: electric field amplitude,"Ef \in [1.0,5.0]","$Ef \in [1.0,5.0]$"
Feynman73,FeynmanIICh27Eq16,II.27.16,Poynting vector magnitude,Physics,Electromagnetism,Energy Flow,c,$c$,$c$: speed of light,"c \in [1.0,5.0]","$c \in [1.0,5.0]$"
Feynman73,FeynmanIICh27Eq16,II.27.16,Poynting vector magnitude,Physics,Electromagnetism,Energy Flow,epsilon,$\epsilon$,$\epsilon$: permittivity of medium,"\epsilon \in [1.0,5.0]","$\epsilon \in [1.0,5.0]$"
Feynman74,FeynmanIICh27Eq18,II.27.18,Electric energy flux,Physics,Electromagnetism,Energy Density,Ef,$Ef$,$Ef$: electric field amplitude,"Ef \in [1.0,5.0]","$Ef \in [1.0,5.0]$"
Feynman74,FeynmanIICh27Eq18,II.27.18,Electric energy flux,Physics,Electromagnetism,Energy Density,epsilon,$\epsilon$,$\epsilon$: permittivity of medium,"\epsilon \in [1.0,5.0]","$\epsilon \in [1.0,5.0]$"
Feynman75,FeynmanIICh34Eq2a,II.34.2a,Magnetic dipole moment (current loop),Physics,Electromagnetism,Magnetic Moment,q,$q$,$q$: charge,"q \in [1.0,5.0]","$q \in [1.0,5.0]$"
Feynman75,FeynmanIICh34Eq2a,II.34.2a,Magnetic dipole moment (current loop),Physics,Electromagnetism,Magnetic Moment,v,$v$,$v$: velocity,"v \in [1.0,5.0]","$v \in [1.0,5.0]$"
Feynman75,FeynmanIICh34Eq2a,II.34.2a,Magnetic dipole moment (current loop),Physics,Electromagnetism,Magnetic Moment,r,$r$,$r$: radius,"r \in [1.0,5.0]","$r \in [1.0,5.0]$"
Feynman76,FeynmanIICh34Eq2,II.34.2,Magnetic moment (orbiting charge),Physics,Electromagnetism,Magnetic Moment,q,$q$,$q$: particle charge,"q \in [1.0,5.0]","$q \in [1.0,5.0]$"
Feynman76,FeynmanIICh34Eq2,II.34.2,Magnetic moment (orbiting charge),Physics,Electromagnetism,Magnetic Moment,r,$r$,$r$: orbital radius,"r \in [1.0,5.0]","$r \in [1.0,5.0]$"
Feynman76,FeynmanIICh34Eq2,II.34.2,Magnetic moment (orbiting charge),Physics,Electromagnetism,Magnetic Moment,v,$v$,$v$: orbital velocity,"v \in [1.0,5.0]","$v \in [1.0,5.0]$"
Feynman77,FeynmanIICh34Eq11,II.34.11,Larmor precession frequency,Physics,Quantum Mechanics,Spin Precession,B,$B$,$B$: magnetic field strength,"B \in [1.0,5.0]","$B \in [1.0,5.0]$"
Feynman77,FeynmanIICh34Eq11,II.34.11,Larmor precession frequency,Physics,Quantum Mechanics,Spin Precession,g,$g$,$g$: Landé g-factor,"g \in [1.0,5.0]","$g \in [1.0,5.0]$"
Feynman77,FeynmanIICh34Eq11,II.34.11,Larmor precession frequency,Physics,Quantum Mechanics,Spin Precession,q,$q$,$q$: particle charge,"q \in [1.0,5.0]","$q \in [1.0,5.0]$"
Feynman77,FeynmanIICh34Eq11,II.34.11,Larmor precession frequency,Physics,Quantum Mechanics,Spin Precession,m,$m$,$m$: particle mass,"m \in [1.0,5.0]","$m \in [1.0,5.0]$"
Feynman78,FeynmanIICh34Eq29a,II.34.29a,Bohr magneton,Physics,Quantum Mechanics,Magnetic Moment,h,$h$,$h$: Planck's constant,"h \in [1.0,5.0]","$h \in [1.0,5.0]$"
Feynman78,FeynmanIICh34Eq29a,II.34.29a,Bohr magneton,Physics,Quantum Mechanics,Magnetic Moment,q,$q$,$q$: electron charge,"q \in [1.0,5.0]","$q \in [1.0,5.0]$"
Feynman78,FeynmanIICh34Eq29a,II.34.29a,Bohr magneton,Physics,Quantum Mechanics,Magnetic Moment,m,$m$,$m$: electron mass,"m \in [1.0,5.0]","$m \in [1.0,5.0]$"
Feynman79,FeynmanIICh34Eq29b,II.34.29b,Zeeman effect energy splitting,Physics,Quantum Mechanics,Atomic Spectroscopy,B,$B$,$B$: applied magnetic field,"B \in [1.0,5.0]","$B \in [1.0,5.0]$"
Feynman79,FeynmanIICh34Eq29b,II.34.29b,Zeeman effect energy splitting,Physics,Quantum Mechanics,Atomic Spectroscopy,Jz,$Jz$,$Jz$: z-component of angular momentum,"Jz \in [1.0,5.0]","$Jz \in [1.0,5.0]$"
Feynman79,FeynmanIICh34Eq29b,II.34.29b,Zeeman effect energy splitting,Physics,Quantum Mechanics,Atomic Spectroscopy,g,$g$,$g$: Landé g-factor,"g \in [1.0,5.0]","$g \in [1.0,5.0]$"
Feynman79,FeynmanIICh34Eq29b,II.34.29b,Zeeman effect energy splitting,Physics,Quantum Mechanics,Atomic Spectroscopy,mom,$mom$,$mom$: Bohr magneton,"mom \in [1.0,5.0]","$mom \in [1.0,5.0]$"
Feynman79,FeynmanIICh34Eq29b,II.34.29b,Zeeman effect energy splitting,Physics,Quantum Mechanics,Atomic Spectroscopy,h,$h$,$h$: Planck's constant,"h \in [1.0,5.0]","$h \in [1.0,5.0]$"
Feynman80,FeynmanIICh35Eq18,II.35.18,Paramagnetism (Brillouin function approx),Physics,Solid State Physics,Magnetism,n0,$n_0$,$n_0$: total number density,"n_0 \in [1.0,3.0]","$n_0 \in [1.0,3.0]$"
Feynman80,FeynmanIICh35Eq18,II.35.18,Paramagnetism (Brillouin function approx),Physics,Solid State Physics,Magnetism,B,$B$,$B$: applied magnetic field,"B \in [1.0,3.0]","$B \in [1.0,3.0]$"
Feynman80,FeynmanIICh35Eq18,II.35.18,Paramagnetism (Brillouin function approx),Physics,Solid State Physics,Magnetism,mom,$mom$,$mom$: magnetic moment per particle,"mom \in [1.0,3.0]","$mom \in [1.0,3.0]$"
Feynman80,FeynmanIICh35Eq18,II.35.18,Paramagnetism (Brillouin function approx),Physics,Solid State Physics,Magnetism,T,$T$,$T$: absolute temperature,"T \in [1.0,3.0]","$T \in [1.0,3.0]$"
Feynman80,FeynmanIICh35Eq18,II.35.18,Paramagnetism (Brillouin function approx),Physics,Solid State Physics,Magnetism,kb,$kb$,$kb$: Boltzmann constant,"kb \in [1.0,3.0]","$kb \in [1.0,3.0]$"
Feynman81,FeynmanIICh35Eq21,II.35.21,Magnetization (Langevin function),Physics,Solid State Physics,Magnetization,mom,$mom$,$mom$: magnetic moment per particle,"mom \in [1.0,5.0]","$mom \in [1.0,5.0]$"
Feynman81,FeynmanIICh35Eq21,II.35.21,Magnetization (Langevin function),Physics,Solid State Physics,Magnetization,nrho,$n_{\rho}$,$n_{\rho}$: particle number density,"n_{\rho} \in [1.0,5.0]","$n_{\rho} \in [1.0,5.0]$"
Feynman81,FeynmanIICh35Eq21,II.35.21,Magnetization (Langevin function),Physics,Solid State Physics,Magnetization,B,$B$,$B$: applied magnetic field,"B \in [1.0,5.0]","$B \in [1.0,5.0]$"
Feynman81,FeynmanIICh35Eq21,II.35.21,Magnetization (Langevin function),Physics,Solid State Physics,Magnetization,T,$T$,$T$: absolute temperature,"T \in [1.0,5.0]","$T \in [1.0,5.0]$"
Feynman81,FeynmanIICh35Eq21,II.35.21,Magnetization (Langevin function),Physics,Solid State Physics,Magnetization,kb,$kb$,$kb$: Boltzmann constant,"kb \in [1.0,5.0]","$kb \in [1.0,5.0]$"
Feynman82,FeynmanIICh36Eq38,II.36.38,Magnetization with electric contribution,Physics,Solid State Physics,Magneto-Electric Coupling,H,$H$,$H$: applied magnetic field,"H \in [1.0,3.0]","$H \in [1.0,3.0]$"
Feynman82,FeynmanIICh36Eq38,II.36.38,Magnetization with electric contribution,Physics,Solid State Physics,Magneto-Electric Coupling,M,$M$,$M$: magnetization,"M \in [1.0,3.0]","$M \in [1.0,3.0]$"
Feynman82,FeynmanIICh36Eq38,II.36.38,Magnetization with electric contribution,Physics,Solid State Physics,Magneto-Electric Coupling,mom,$mom$,$mom$: magnetic moment per particle,"mom \in [1.0,3.0]","$mom \in [1.0,3.0]$"
Feynman82,FeynmanIICh36Eq38,II.36.38,Magnetization with electric contribution,Physics,Solid State Physics,Magneto-Electric Coupling,T,$T$,$T$: absolute temperature,"T \in [1.0,3.0]","$T \in [1.0,3.0]$"
Feynman82,FeynmanIICh36Eq38,II.36.38,Magnetization with electric contribution,Physics,Solid State Physics,Magneto-Electric Coupling,kb,$kb$,$kb$: Boltzmann constant,"kb \in [1.0,3.0]","$kb \in [1.0,3.0]$"
Feynman82,FeynmanIICh36Eq38,II.36.38,Magnetization with electric contribution,Physics,Solid State Physics,Magneto-Electric Coupling,alpha,$\alpha$,$\alpha$: magneto-electric coupling constant,"\alpha \in [1.0,3.0]","$\alpha \in [1.0,3.0]$"
Feynman82,FeynmanIICh36Eq38,II.36.38,Magnetization with electric contribution,Physics,Solid State Physics,Magneto-Electric Coupling,epsilon,$\epsilon$,$\epsilon$: permittivity of medium,"\epsilon \in [1.0,3.0]","$\epsilon \in [1.0,3.0]$"
Feynman82,FeynmanIICh36Eq38,II.36.38,Magnetization with electric contribution,Physics,Solid State Physics,Magneto-Electric Coupling,c,$c$,$c$: speed of light,"c \in [1.0,3.0]","$c \in [1.0,3.0]$"
Feynman83,FeynmanIICh37Eq1,II.37.1,Magnetic field in material,Physics,Solid State Physics,Magnetic Materials,B,$B$,$B$: applied magnetic field,"B \in [1.0,5.0]","$B \in [1.0,5.0]$"
Feynman83,FeynmanIICh37Eq1,II.37.1,Magnetic field in material,Physics,Solid State Physics,Magnetic Materials,mom,$mom$,$mom$: magnetic moment per particle,"mom \in [1.0,5.0]","$mom \in [1.0,5.0]$"
Feynman83,FeynmanIICh37Eq1,II.37.1,Magnetic field in material,Physics,Solid State Physics,Magnetic Materials,chi,$\chi$,$\chi$: magnetic susceptibility,"\chi \in [1.0,5.0]","$\chi \in [1.0,5.0]$"
Feynman84,FeynmanIICh38Eq3,II.38.3,Hooke's law for stress/strain (force),Engineering,Mechanical Engineering,Elasticity,Y,$Y$,$Y$: Young's modulus,"Y \in [1.0,5.0]","$Y \in [1.0,5.0]$"
Feynman84,FeynmanIICh38Eq3,II.38.3,Hooke's law for stress/strain (force),Engineering,Mechanical Engineering,Elasticity,A,$A$,$A$: cross-sectional area,"A \in [1.0,5.0]","$A \in [1.0,5.0]$"
Feynman84,FeynmanIICh38Eq3,II.38.3,Hooke's law for stress/strain (force),Engineering,Mechanical Engineering,Elasticity,x,$x$,$x$: elongation (extension),"x \in [1.0,5.0]","$x \in [1.0,5.0]$"
Feynman84,FeynmanIICh38Eq3,II.38.3,Hooke's law for stress/strain (force),Engineering,Mechanical Engineering,Elasticity,d,$d$,$d$: original length,"d \in [1.0,5.0]","$d \in [1.0,5.0]$"
Feynman85,FeynmanIICh38Eq14,II.38.14,Shear modulus from Young's modulus,Engineering,Mechanical Engineering,Material Properties,Y,$Y$,$Y$: Young's modulus,"Y \in [1.0,5.0]","$Y \in [1.0,5.0]$"
Feynman85,FeynmanIICh38Eq14,II.38.14,Shear modulus from Young's modulus,Engineering,Mechanical Engineering,Material Properties,sigma,$\sigma$,$\sigma$: Poisson's ratio,"\sigma \in [1.0,5.0]","$\sigma \in [1.0,5.0]$"
Feynman86,FeynmanIIICh4Eq32,III.4.32,Bose-Einstein distribution,Physics,Statistical Mechanics,Quantum Statistics,h,$h$,$h$: Planck's constant,"h \in [1.0,5.0]","$h \in [1.0,5.0]$"
Feynman86,FeynmanIIICh4Eq32,III.4.32,Bose-Einstein distribution,Physics,Statistical Mechanics,Quantum Statistics,omega,$\omega$,$\omega$: angular frequency,"\omega \in [1.0,5.0]","$\omega \in [1.0,5.0]$"
Feynman86,FeynmanIIICh4Eq32,III.4.32,Bose-Einstein distribution,Physics,Statistical Mechanics,Quantum Statistics,T,$T$,$T$: absolute temperature,"T \in [1.0,5.0]","$T \in [1.0,5.0]$"
Feynman86,FeynmanIIICh4Eq32,III.4.32,Bose-Einstein distribution,Physics,Statistical Mechanics,Quantum Statistics,kb,$kb$,$kb$: Boltzmann constant,"kb \in [1.0,5.0]","$kb \in [1.0,5.0]$"
Feynman87,FeynmanIIICh4Eq33,III.4.33,Average energy (Bose-Einstein statistics),Physics,Statistical Mechanics,Quantum Statistics,h,$h$,$h$: Planck's constant,"h \in [1.0,5.0]","$h \in [1.0,5.0]$"
Feynman87,FeynmanIIICh4Eq33,III.4.33,Average energy (Bose-Einstein statistics),Physics,Statistical Mechanics,Quantum Statistics,omega,$\omega$,$\omega$: angular frequency,"\omega \in [1.0,5.0]","$\omega \in [1.0,5.0]$"
Feynman87,FeynmanIIICh4Eq33,III.4.33,Average energy (Bose-Einstein statistics),Physics,Statistical Mechanics,Quantum Statistics,T,$T$,$T$: absolute temperature,"T \in [1.0,5.0]","$T \in [1.0,5.0]$"
Feynman87,FeynmanIIICh4Eq33,III.4.33,Average energy (Bose-Einstein statistics),Physics,Statistical Mechanics,Quantum Statistics,kb,$kb$,$kb$: Boltzmann constant,"kb \in [1.0,5.0]","$kb \in [1.0,5.0]$"
Feynman88,FeynmanIIICh7Eq38,III.7.38,Gyromagnetic ratio times field,Physics,Quantum Mechanics,Spin Dynamics,B,$B$,$B$: magnetic field,"B \in [1.0,5.0]","$B \in [1.0,5.0]$"
Feynman88,FeynmanIIICh7Eq38,III.7.38,Gyromagnetic ratio times field,Physics,Quantum Mechanics,Spin Dynamics,mom,$mom$,$mom$: magnetic dipole moment,"mom \in [1.0,5.0]","$mom \in [1.0,5.0]$"
Feynman88,FeynmanIIICh7Eq38,III.7.38,Gyromagnetic ratio times field,Physics,Quantum Mechanics,Spin Dynamics,h,$h$,$h$: Planck's constant,"h \in [1.0,5.0]","$h \in [1.0,5.0]$"
Feynman89,FeynmanIIICh8Eq54,III.8.54,Quantum transition probability (time-dependent),Physics,Quantum Mechanics,Time Evolution,En,$E_n$,$E_n$: energy,"E_n \in [1.0,2.0]","$E_n \in [1.0,2.0]$"
Feynman89,FeynmanIIICh8Eq54,III.8.54,Quantum transition probability (time-dependent),Physics,Quantum Mechanics,Time Evolution,t,$t$,$t$: time,"t \in [1.0,2.0]","$t \in [1.0,2.0]$"
Feynman89,FeynmanIIICh8Eq54,III.8.54,Quantum transition probability (time-dependent),Physics,Quantum Mechanics,Time Evolution,h,$h$,$h$: Planck's constant,"h \in [1.0,4.0]","$h \in [1.0,4.0]$"
Feynman90,FeynmanIIICh9Eq52,III.9.52,Rabi oscillation transition rate,Physics,Quantum Mechanics,Quantum Optics,Ef,$Ef$,$Ef$: electric field amplitude,"Ef \in [1.0,3.0]","$Ef \in [1.0,3.0]$"
Feynman90,FeynmanIIICh9Eq52,III.9.52,Rabi oscillation transition rate,Physics,Quantum Mechanics,Quantum Optics,pd,$p_d$,$p_d$: electric dipole moment,"p_d \in [1.0,3.0]","$p_d \in [1.0,3.0]$"
Feynman90,FeynmanIIICh9Eq52,III.9.52,Rabi oscillation transition rate,Physics,Quantum Mechanics,Quantum Optics,omega,$\omega$,$\omega$: driving frequency,"\omega \in [1.0,5.0]","$\omega \in [1.0,5.0]$"
Feynman90,FeynmanIIICh9Eq52,III.9.52,Rabi oscillation transition rate,Physics,Quantum Mechanics,Quantum Optics,omega0,$\omega_0$,$\omega_0$: resonance frequency,"\omega_0 \in [1.0,5.0]","$\omega_0 \in [1.0,5.0]$"
Feynman90,FeynmanIIICh9Eq52,III.9.52,Rabi oscillation transition rate,Physics,Quantum Mechanics,Quantum Optics,t,$t$,$t$: time,"t \in [1.0,3.0]","$t \in [1.0,3.0]$"
Feynman90,FeynmanIIICh9Eq52,III.9.52,Rabi oscillation transition rate,Physics,Quantum Mechanics,Quantum Optics,h,$h$,$h$: Planck's constant,"h \in [1.0,3.0]","$h \in [1.0,3.0]$"
Feynman91,FeynmanIIICh10Eq19,III.10.19,Energy in 3D magnetic field,Physics,Quantum Mechanics,Zeeman Energy,mom,$mom$,$mom$: magnetic dipole moment,"mom \in [1.0,5.0]","$mom \in [1.0,5.0]$"
Feynman91,FeynmanIIICh10Eq19,III.10.19,Energy in 3D magnetic field,Physics,Quantum Mechanics,Zeeman Energy,Bx,$Bx$,$Bx$: x-component of magnetic field,"Bx \in [1.0,5.0]","$Bx \in [1.0,5.0]$"
Feynman91,FeynmanIIICh10Eq19,III.10.19,Energy in 3D magnetic field,Physics,Quantum Mechanics,Zeeman Energy,By,$By$,$By$: y-component of magnetic field,"By \in [1.0,5.0]","$By \in [1.0,5.0]$"
Feynman91,FeynmanIIICh10Eq19,III.10.19,Energy in 3D magnetic field,Physics,Quantum Mechanics,Zeeman Energy,Bz,$Bz$,$Bz$: z-component of magnetic field,"Bz \in [1.0,5.0]","$Bz \in [1.0,5.0]$"
Feynman92,FeynmanIIICh12Eq43,III.12.43,Quantized angular momentum,Physics,Quantum Mechanics,Angular Momentum,h,$h$,$h$: Planck's constant,"h \in [1.0,5.0]","$h \in [1.0,5.0]$"
Feynman92,FeynmanIIICh12Eq43,III.12.43,Quantized angular momentum,Physics,Quantum Mechanics,Angular Momentum,n,$n$,$n$: principal quantum number,"n \in [1.0,5.0]","$n \in [1.0,5.0]$"
Feynman93,FeynmanIIICh13Eq18,III.13.18,Fermi's golden rule (transition rate),Physics,Quantum Mechanics,Perturbation Theory,En,$E_n$,$E_n$: energy,"E_n \in [1.0,5.0]","$E_n \in [1.0,5.0]$"
Feynman93,FeynmanIIICh13Eq18,III.13.18,Fermi's golden rule (transition rate),Physics,Quantum Mechanics,Perturbation Theory,d,$d$,$d$: matrix element,"d \in [1.0,5.0]","$d \in [1.0,5.0]$"
Feynman93,FeynmanIIICh13Eq18,III.13.18,Fermi's golden rule (transition rate),Physics,Quantum Mechanics,Perturbation Theory,k,$k$,$k$: density of states,"k \in [1.0,5.0]","$k \in [1.0,5.0]$"
Feynman93,FeynmanIIICh13Eq18,III.13.18,Fermi's golden rule (transition rate),Physics,Quantum Mechanics,Perturbation Theory,h,$h$,$h$: Planck's constant,"h \in [1.0,5.0]","$h \in [1.0,5.0]$"
Feynman94,FeynmanIIICh14Eq14,III.14.14,Shockley diode equation,Engineering,Electrical Engineering,Semiconductor Devices,I0,$I_0$,$I_0$: saturation current,"I_0 \in [1.0,5.0]","$I_0 \in [1.0,5.0]$"
Feynman94,FeynmanIIICh14Eq14,III.14.14,Shockley diode equation,Engineering,Electrical Engineering,Semiconductor Devices,Volt,$Volt$,$Volt$: applied voltage,"Volt \in [1.0,2.0]","$Volt \in [1.0,2.0]$"
Feynman94,FeynmanIIICh14Eq14,III.14.14,Shockley diode equation,Engineering,Electrical Engineering,Semiconductor Devices,q,$q$,$q$: elementary charge,"q \in [1.0,2.0]","$q \in [1.0,2.0]$"
Feynman94,FeynmanIIICh14Eq14,III.14.14,Shockley diode equation,Engineering,Electrical Engineering,Semiconductor Devices,T,$T$,$T$: absolute temperature,"T \in [1.0,2.0]","$T \in [1.0,2.0]$"
Feynman94,FeynmanIIICh14Eq14,III.14.14,Shockley diode equation,Engineering,Electrical Engineering,Semiconductor Devices,kb,$kb$,$kb$: Boltzmann constant,"kb \in [1.0,2.0]","$kb \in [1.0,2.0]$"
Feynman95,FeynmanIIICh15Eq12,III.15.12,Tight-binding dispersion relation,Physics,Solid State Physics,Band Structure,U,$U$,$U$: coupling energy,"U \in [1.0,5.0]","$U \in [1.0,5.0]$"
Feynman95,FeynmanIIICh15Eq12,III.15.12,Tight-binding dispersion relation,Physics,Solid State Physics,Band Structure,k,$k$,$k$: wave vector,"k \in [1.0,5.0]","$k \in [1.0,5.0]$"
Feynman95,FeynmanIIICh15Eq12,III.15.12,Tight-binding dispersion relation,Physics,Solid State Physics,Band Structure,d,$d$,$d$: lattice constant,"d \in [1.0,5.0]","$d \in [1.0,5.0]$"
Feynman96,FeynmanIIICh15Eq14,III.15.14,Effective mass in quantum well,Physics,Quantum Mechanics,Quantum Confinement,h,$h$,$h$: Planck's constant,"h \in [1.0,5.0]","$h \in [1.0,5.0]$"
Feynman96,FeynmanIIICh15Eq14,III.15.14,Effective mass in quantum well,Physics,Quantum Mechanics,Quantum Confinement,En,$E_n$,$E_n$: energy,"E_n \in [1.0,5.0]","$E_n \in [1.0,5.0]$"
Feynman96,FeynmanIIICh15Eq14,III.15.14,Effective mass in quantum well,Physics,Quantum Mechanics,Quantum Confinement,d,$d$,$d$: well width,"d \in [1.0,5.0]","$d \in [1.0,5.0]$"
Feynman97,FeynmanIIICh15Eq27,III.15.27,Reciprocal lattice vector,Physics,Solid State Physics,Crystallography,alpha,$\alpha$,$\alpha$: lattice parameter,"\alpha \in [1.0,5.0]","$\alpha \in [1.0,5.0]$"
Feynman97,FeynmanIIICh15Eq27,III.15.27,Reciprocal lattice vector,Physics,Solid State Physics,Crystallography,n,$n$,$n$: Miller index,"n \in [1.0,5.0]","$n \in [1.0,5.0]$"
Feynman97,FeynmanIIICh15Eq27,III.15.27,Reciprocal lattice vector,Physics,Solid State Physics,Crystallography,d,$d$,$d$: spacing,"d \in [1.0,5.0]","$d \in [1.0,5.0]$"
Feynman98,FeynmanIIICh17Eq37,III.17.37,Angular modulation function,Mathematics,Applied Mathematics,Signal Processing,beta,$\beta$,$\beta$: amplitude parameter,"\beta \in [1.0,5.0]","$\beta \in [1.0,5.0]$"
Feynman98,FeynmanIIICh17Eq37,III.17.37,Angular modulation function,Mathematics,Applied Mathematics,Signal Processing,alpha,$\alpha$,$\alpha$: modulation depth,"\alpha \in [1.0,5.0]","$\alpha \in [1.0,5.0]$"
Feynman98,FeynmanIIICh17Eq37,III.17.37,Angular modulation function,Mathematics,Applied Mathematics,Signal Processing,theta,$\theta$,$\theta$: angle,"\theta \in [1.0,5.0]","$\theta \in [1.0,5.0]$"
Feynman99,FeynmanIIICh19Eq51,III.19.51,Hydrogen atom energy levels (Bohr model),Physics,Quantum Mechanics,Atomic Physics,m,$m$,$m$: electron mass,"m \in [1.0,5.0]","$m \in [1.0,5.0]$"
Feynman99,FeynmanIIICh19Eq51,III.19.51,Hydrogen atom energy levels (Bohr model),Physics,Quantum Mechanics,Atomic Physics,q,$q$,$q$: electron charge,"q \in [1.0,5.0]","$q \in [1.0,5.0]$"
Feynman99,FeynmanIIICh19Eq51,III.19.51,Hydrogen atom energy levels (Bohr model),Physics,Quantum Mechanics,Atomic Physics,h,$h$,$h$: Planck's constant,"h \in [1.0,5.0]","$h \in [1.0,5.0]$"
Feynman99,FeynmanIIICh19Eq51,III.19.51,Hydrogen atom energy levels (Bohr model),Physics,Quantum Mechanics,Atomic Physics,n,$n$,$n$: principal quantum number,"n \in [1.0,5.0]","$n \in [1.0,5.0]$"
Feynman99,FeynmanIIICh19Eq51,III.19.51,Hydrogen atom energy levels (Bohr model),Physics,Quantum Mechanics,Atomic Physics,epsilon,$\epsilon$,$\epsilon$: permittivity,"\epsilon \in [1.0,5.0]","$\epsilon \in [1.0,5.0]$"
Feynman100,FeynmanIIICh21Eq20,III.21.20,Current density in quantum mechanics,Physics,Quantum Mechanics,Electromagnetic Coupling,Avec,$A_{vec}$,$A_{vec}$: magnetic vector potential,"A_{vec} \in [1.0,5.0]","$A_{vec} \in [1.0,5.0]$"
Feynman100,FeynmanIIICh21Eq20,III.21.20,Current density in quantum mechanics,Physics,Quantum Mechanics,Electromagnetic Coupling,q,$q$,$q$: electric charge,"q \in [1.0,5.0]","$q \in [1.0,5.0]$"
Feynman100,FeynmanIIICh21Eq20,III.21.20,Current density in quantum mechanics,Physics,Quantum Mechanics,Electromagnetic Coupling,rhoc0,$\rho_{c_0}$,$\rho_{c_0}$: charge density,"\rho_{c_0} \in [1.0,5.0]","$\rho_{c_0} \in [1.0,5.0]$"
Feynman100,FeynmanIIICh21Eq20,III.21.20,Current density in quantum mechanics,Physics,Quantum Mechanics,Electromagnetic Coupling,m,$m$,$m$: particle mass,"m \in [1.0,5.0]","$m \in [1.0,5.0]$"
Bonus1,FeynmanBonus1,Bonus1.0,Mott scattering cross-section (relativistic Rutherford),Physics,Nuclear Physics,Scattering Theory,Z1,$Z_1$,$Z_1$: atomic number of projectile,"Z_1 \in [1.0,2.0]","$Z_1 \in [1.0,2.0]$"
Bonus1,FeynmanBonus1,Bonus1.0,Mott scattering cross-section (relativistic Rutherford),Physics,Nuclear Physics,Scattering Theory,Z2,$Z_2$,$Z_2$: atomic number of target,"Z_2 \in [1.0,2.0]","$Z_2 \in [1.0,2.0]$"
Bonus1,FeynmanBonus1,Bonus1.0,Mott scattering cross-section (relativistic Rutherford),Physics,Nuclear Physics,Scattering Theory,alpha,$\alpha$,$\alpha$: fine structure constant,"\alpha \in [1.0,2.0]","$\alpha \in [1.0,2.0]$"
Bonus1,FeynmanBonus1,Bonus1.0,Mott scattering cross-section (relativistic Rutherford),Physics,Nuclear Physics,Scattering Theory,hbar,$\hbar$,$\hbar$: reduced Planck constant,"\hbar \in [1.0,2.0]","$\hbar \in [1.0,2.0]$"
